filename,status,bars,slow_ratio,center_ratio,fast_ratio,achievement,precision,balance,overall_score,rank,play_tendency,ranking_position,ranking_percentile,ranking_top_percent,ranking_title,error
002A24D5-37C4-49A7-B262-7991477A2170.jpeg,OK,3,0.103448,0.758621,0.137931,100.759,75.862,85.714,77.833,S,All Round Player,542,30.127848804891606,30.127848804891606,パープルランカー,
005F3183-550E-4586-9908-BBE00E6053E3.jpeg,OK,3,0.029126,0.728155,0.242718,100.728,72.816,21.429,62.538,BBB,Fast Type,1605,89.21623123957755,89.21623123957755,ブルーランカー,
01592CBB-B295-4BAF-B92D-3A3B29708F95.jpg,OK,3,0.143836,0.739726,0.116438,100.740,73.973,89.474,77.073,S,Balanced Player,617,34.29683157309616,34.29683157309616,パープルランカー,
01A896BF-D663-44C2-B8CE-70C8C93F557F.png,OK,3,0.055556,0.677778,0.266667,100.678,67.778,34.483,61.119,BB,Fast Type,1645,91.43968871595331,91.43968871595331,ホワイトランカー,
02DE9E39-4A27-4194-A9EA-B293B13F16BB.png,OK,3,0.089385,0.703911,0.206704,100.704,70.391,60.377,68.388,AA,Fast Type,1341,74.5414118954975,74.5414118954975,グリーンランカー,
030667F6-0F07-4EF6-9B71-5B97D24436AC.jpeg,OK,3,0.055172,0.772414,0.172414,100.772,77.241,48.485,71.490,AA+,Fast Type,1110,61.70094496942746,61.70094496942746,オレンジランカー,
0339F4B5-792B-4B43-8310-643D0847129D.jpg,OK,3,0.137931,0.695402,0.166667,100.695,69.540,90.566,73.745,AAA,Balanced Player,924,51.36186770428015,51.36186770428015,レッドランカー,
03E514C0-B1C4-4034-9C86-0DF85928AD70.jpg,OK,3,0.089655,0.786207,0.124138,100.786,78.621,83.871,79.671,S+,All Round Player,394,21.90105614230128,21.90105614230128,ブロンズランカー,
03EF56B3-053B-49EC-B8F8-822CDDF70EF6.jpeg,OK,3,0.068627,0.735294,0.196078,100.735,73.529,51.852,69.194,AA,Fast Type,1291,71.7620900500278,71.7620900500278,グリーンランカー,
047F8560-5226-4F89-BF7B-3FFD545B374E.jpeg,OK,3,0.144828,0.737931,0.117241,100.738,73.793,89.474,76.929,S,Balanced Player,635,35.29738743746526,35.29738743746526,パープルランカー,
04A08054-4324-455B-8B0C-DD9ABF030DE1.jpeg,OK,3,0.114943,0.706897,0.178161,100.707,70.690,78.431,72.238,AAA,All Round Player,1048,58.25458588104503,58.25458588104503,レッドランカー,
04EBD70C-87D8-480B-B746-BEE31482341C.jpeg,OK,3,0.131034,0.737931,0.131034,100.738,73.793,100.000,79.034,S+,Balanced Player,443,24.62479155086159,24.62479155086159,ブロンズランカー,
056D2223-9E94-4EE9-904A-84ECC12545CD.jpeg,OK,3,0.176471,0.696078,0.127451,100.696,69.608,83.871,72.460,AAA,All Round Player,1033,57.42078932740411,57.42078932740411,レッドランカー,
05CEFC40-2B69-4638-B5C6-E6CA3F4C40DD.jpeg,OK,3,0.168317,0.742574,0.089109,100.743,74.257,69.231,73.252,AAA,Slow Type,969,53.86325736520289,53.86325736520289,レッドランカー,
0629FC26-46C3-4689-9B53-5865F71CBF4F.jpg,OK,3,0.089655,0.696552,0.213793,100.697,69.655,59.091,67.542,A+,Fast Type,1384,76.93162868260146,76.93162868260146,グリーンランカー,
077106B1-8000-4FC0-AABF-DD59EADA5B81.png,OK,3,0.066667,0.716667,0.216667,100.717,71.667,47.059,66.745,A+,Fast Type,1428,79.37743190661479,79.37743190661479,グリーンランカー,
07874C4D-4C1D-4CDA-AF71-411329E8CFCD.jpeg,OK,3,0.058824,0.794118,0.147059,100.794,79.412,57.143,74.958,AAA+,Fast Type,814,45.24735964424681,45.24735964424681,パープルランカー,
08C061EA-3C4B-4115-93CB-C9069B58706F.jpeg,OK,3,0.159722,0.701389,0.138889,100.701,70.139,93.023,74.716,AAA+,Balanced Player,843,46.85936631461923,46.85936631461923,パープルランカー,
093C013F-60E2-4D72-9B38-2CB27EDB16E3.jpg,OK,3,0.075581,0.633721,0.290698,100.634,63.372,41.270,58.952,B,Fast Type,1694,94.16342412451361,94.16342412451361,ホワイトランカー,
